Cheese Name,Milk Type,Texture,Rind,Color,Flavor,Aroma,,,,,,,,,,
/gouda/,"Made from pasteurized or unpasteurized cow's, goat's or sheep's milk",Netherlands,"South Holland, Gouda",Gouda,"semi-hard, artisan, brined, processed",76%,31 g/100g,958 mg/100g,"compact, crumbly, dense and springy",waxed,yellow,"creamy, full-flavored, nutty, sweet",pungent,no,"Boerenkass Gouda, Graskaas Gouda, Jong Gouda",Goudam
/brie/,Made from unpasteurized cow's milk,France,Seine-et-Marne,Brie,"soft, artisan, soft-ripened",8.4 g/100g,"buttery, runny and soft-ripened",bloomy,cream,"fruity, mild, nutty, tangy","pronounced, strong",no,,,,
/american-cheese/,Made from pasteurized cow's milk,United States,"semi-soft, processed",smooth,rindless,yellow,mild,no,,,,,,,,
/pecorino-romano/,Made from sheep's milk,Italy,"Lazio, Sardinia, and Tuscany (Province of Grosseto)",Pecorino,hard,"crumbly, flaky and grainy",natural,pale yellow,"salty, sharp, smokey , spicy",strong,no,,,,,
/cheddar/,Made from pasteurized cow's milk,England,Somerset,Cheddar,"hard, artisan, processed",9 g/100g,compact and crumbly,pale yellow,"creamy, sharp",no,,,,,,
/manchego/,Made from pasteurized or unpasteurized sheep's milk,Spain,La Mancha,semi-soft,firm and supple,waxed,pale yellow,"fruity, nutty, sweet, tangy","grassy, pleasant",no,Queso Manchego,"Manchego Curado, Manchego Semi Curado, Manchego Viejo",,,,
/smoked-gouda/,Made from pasteurized or unpasteurized cow's milk,Netherlands,South Holland,Gouda,"hard, artisan",7 g/100g,buttery and crumbly,waxed,pale yellow,smokey,smokey,no,,,,
/camembert/,Made from unpasteurized cow's milk,France,"Normandy, Camembert",Camembert,"soft, artisan, soft-ripened",45%,"chalky, runny, smooth and soft",bloomy,pale yellow,"buttery, creamy, milky, sweet",earthy,no,"Camembert Le Châtelain, Camembert de Normandie PDO",,,
/provolone/,Made from pasteurized or unpasteurized cow's milk,Italy,Po valley region,Pasta filata,"semi-hard, artisan","firm, grainy and open",waxed,pale yellow,"buttery, mild, sharp, spicy, sweet, tangy",pleasant,,,,,,
/babybel/,Made from pasteurized cow's milk,France,semi-hard,smooth,waxed,white,"salty, sweet",,,,,,,,,
