"REF_DATE","GEO","DGUID","Type of dairy product","Type of disappearance of dairy products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1920","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","3661870","","","","0"
"1920","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","427.99","","","","2"
"1920","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","1367514","","","","0"
"1920","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","159.83","","","","2"
"1920","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","2101224","","","","0"
"1920","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","245.58","","","","2"
"1920","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","115568","","","","0"
"1920","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","13.51","","","","2"
"1920","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","37589","","","","0"
"1920","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","4.39","","","","2"
"1920","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","39974","","","","0"
"1920","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","4.67","","","","2"
"1921","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","4081467","","","","0"
"1921","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","464.42","","","","2"
"1921","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","1481316","","","","0"
"1921","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","168.56","","","","2"
"1921","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","2413403","","","","0"
"1921","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","274.62","","","","2"
