"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Domestic disappearance of dairy products in terms of milk",32100306,003-0051,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210030601",1,"ARCHIVED -  a cube publicly available but no longer being updated",Annual,1920-01-01,1977-01-01,3

"Dimension ID","Dimension name","Dimension Notes","Dimension Correction Notes","Dimension Definitions"
1,Geography,,,
2,"Type of dairy product",,,
3,"Type of disappearance of dairy products",,,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Correction Notes","Member Geo Attribute Keys","Member Definitions"
1,Canada,,1,,,,,,
2,"Total dairy products",,1,,,,,,
2,"Fluid products",,2,1,,,,,
2,Butter,,3,1,,,,,
2,Cheese,,4,1,,,,,
2,"Concentrated whole milk products",,5,1,,,,,
2,"Ice cream",,6,1,,,,,
3,"Total domestic disappearance",,1,,,,,,
3,"Per capita domestic disappearance",,2,,,,,,

Symbol Legend
Description,Symbol
"not available for a specific reference period",..
"less than the limit of detection",<LOD
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded",0s
"data quality: excellent",A
"data quality: very good",B
"data quality: good",C
"data quality: acceptable",D
"use with caution",E
"too unreliable to be published",F
"not applicable",...
preliminary,p
revised,r
"suppressed to meet the confidentiality requirements of the Statistics Act",x
terminated,t

"Survey Code","Survey Name"
3430,"Monthly Dairy Factory Production and Stocks Survey"

"Subject Code","Subject Name"
32,Agriculture

"Note ID",Note
1,"For concepts and methodology and other information contact Dairy/Food Unit, Agriculture Division, Statistics Canada or see Handbook of Agricultural Statistics Part VII Dairy Statistics, Catalogue 21-515."

"Correction ID","Correction Date","Correction Note"


