year,type,production,consumption,Price,milk_id,unit_id,,,,"`year`, `type`, `production`, `consumption`, `price`, `milk_id`, `unit_id`"
1920,Total dairy products,3661870,Total domestic disappearance,427.99,12,Kilolitres,,,,
1920,Fluid products,1367514,Total domestic disappearance,159.83,9,Kilolitres,,,,
1920,Butter,2101224,Total domestic disappearance,245.58,4,Kilolitres,,,,
1920,Cheese,115568,Total domestic disappearance,13.51,1,Kilolitres,,,,
1920,Concentrated whole milk products,37589,Total domestic disappearance,4.39,11,Kilolitres,,,,
1920,Ice cream,39974,Total domestic disappearance,4.67,2,Kilolitres,,,,
1921,Total dairy products,4081467,Total domestic disappearance,464.42,14,Kilolitres,,,,
1921,Fluid products,1481316,Total domestic disappearance,168.56,13,Kilolitres,,,,
1921,Butter,2413403,Total domestic disappearance,274.62,14,Kilolitres,,,,
1921,Cheese,109045,Total domestic disappearance,12.41,11,Kilolitres,,,,
1921,Concentrated whole milk products,39979,Total domestic disappearance,4.55,4,Kilolitres,,,,
1921,Ice cream,37725,Total domestic disappearance,4.29,11,Kilolitres,,,,
1922,Total dairy products,4204632,Total domestic disappearance,471.42,13,Kilolitres,,,,
1922,Fluid products,1508980,Total domestic disappearance,169.19,6,Kilolitres,,,,
1922,Butter,2491574,Total domestic disappearance,279.36,13,Kilolitres,,,,
1922,Cheese,134637,Total domestic disappearance,15.1,4,Kilolitres,,,,
1922,Concentrated whole milk products,36282,Total domestic disappearance,4.07,13,Kilolitres,,,,
1922,Ice cream,33157,Total domestic disappearance,3.72,3,Kilolitres,,,,
1923,Total dairy products,4502264,Total domestic disappearance,499.69,5,Kilolitres,,,,
1923,Fluid products,1595984,Total domestic disappearance,177.13,12,Kilolitres,,,,
1923,Butter,2691911,Total domestic disappearance,298.77,13,Kilolitres,,,,
1923,Cheese,141910,Total domestic disappearance,15.75,12,Kilolitres,,,,
1923,Concentrated whole milk products,33613,Total domestic disappearance,3.73,6,Kilolitres,,,,
1923,Ice cream,38846,Total domestic disappearance,4.31,1,Kilolitres,,,,
1924,Total dairy products,4536668,Total domestic disappearance,496.19,9,Kilolitres,,,,
1924,Fluid products,1636924,Total domestic disappearance,179.04,3,Kilolitres,,,,
1924,Butter,2676906,Total domestic disappearance,292.78,5,Kilolitres,,,,
1924,Cheese,145939,Total domestic disappearance,15.96,10,Kilolitres,,,,
1924,Concentrated whole milk products,38870,Total domestic disappearance,4.25,10,Kilolitres,,,,
1924,Ice cream,38029,Total domestic disappearance,4.16,11,Kilolitres,,,,
1925,Total dairy products,4689342,Total domestic disappearance,504.55,3,Kilolitres,,,,
