Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Albania,ALB,1660736837.5,3216796289.09505,11633374320.7968,12201540481.6079,10453745531.0478,10939629296.9773,11861807536.8788,13700540777.0841,14069133382.9967,14024839522.3194,15879406648.9567,16226681842.9782
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Algeria,DZA,45235795069.4994,30219641187.3316,112834461826.117,119505620673.372,103854566906.222,101466439475.989,104632051545.263,103673616126.645,105960844206.084,97024899666.185,101023459179.473,108519954979.393
Final consumption expenditure (current US$),NE.CON.TOTL.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Angola,AGO,..,3896714485.84334,78940107307.6142,85698728052.3151,60335546594.1417,34841731952.9012,48362545290.1634,51993702557.0727,40570623224.7361,32726802239.2524,34330797498.3943,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Antigua and Barbuda,ATG,..,622222222.222222,1087851851.85185,1115158037.03704,1107565814.81481,1141769481.48148,1105458481.48148,1099228000,1082385888.88889,1088446037.03704,..,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Argentina,ARG,113470543987.09,236219366100,457042608919.298,433334542562.24,499614480942.488,464850763383.692,543457079919.52,447541635095.697,369714751741.12,311065831466.207,373885102947.489,501568580086.087
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Armenia,ARM,1510390863.36171,2159393245.18188,10979506801.0539,11334720593.6313,9606433477.91274,9465981611.89987,10645440398.2933,11372552542.5173,13075066691.008,11414821842.051,12170829743.7323,16317816925.6547
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Aruba,ABW,..,1326530726.25698,2317821229.05028,2322533519.55307,2328514525.13966,2327950279.32961,2416910614.52514,2565458100.55866,2595605027.93296,2353440949.72067,2485214804.46927,..
